clade_name	ERR6281997	ERR6229432	ERR6282298	ERR6281944	ERR6281939	ERR6282070	ERR6282137	ERR6282383	ERR6281677	ERR6281658	ERR6281586	ERR6281941	ERR6281751	ERR6281505	ERR6281499	ERR6281942	ERR6281433	ERR6281504	ERR6281431	ERR6281448	ERR6281500	ERR6281518	ERR6281342	ERR6281344	ERR6281340	ERR6281432	ERR6280948	ERR6281434	ERR6281341	ERR6281343	ERR6280910	ERR6279683	ERR6279682	ERR6281000	ERR6279680	ERR6280907	ERR6279679	ERR6279675	ERR6279678	ERR6279673	ERR6279677	ERR6280899	ERR6279674	ERR6279676	ERR6279681	ERR6279668	ERR6279671	ERR6279672	ERR6279667	ERR6279665	ERR6279663	ERR6279664	ERR6279666	ERR6279662	ERR6279658	ERR6279660	ERR6279670	ERR6279659	ERR6279656	ERR6279653	ERR6279654	ERR6279652	ERR6279669	ERR6279661	ERR6279651	ERR6279650	ERR6279649	ERR6279646	ERR6279648	ERR6279645	ERR6279644	ERR6279629	ERR6279655	ERR6279627	ERR6279647	ERR6279657	ERR6279625	ERR6279628	ERR6279626	ERR6279623	ERR6279621	ERR6279620	ERR6279615	ERR6279619	ERR6279616	ERR6279622	ERR6275684	ERR6279614	ERR6275681	ERR6279624	ERR6254871	ERR6254870	ERR6275661	ERR6243879	ERR6248618	ERR6264281	ERR6239138	ERR6243877	ERR6243880	ERR6243878	ERR6235717	ERR6235716	ERR6239139	ERR6236131	ERR6235718	ERR6233693	ERR6233692	ERR6232687	ERR6232688	ERR6233694	ERR6232529	ERR6232686	ERR6232528	ERR6232526	ERR6232525	ERR6232523	ERR6232521	ERR6232522	ERR6232527	ERR6232518	ERR6232425	ERR6232458	ERR6232382	ERR6231548	ERR6232524	ERR6231616	ERR6230278	ERR6230340	ERR6230326	ERR6231475	ERR6233695	ERR6230245	ERR6275682	ERR6275683	ERR6275678	ERR6275679	ERR6275680	ERR6275676	ERR6279618	ERR6275675	ERR6275672	ERR6275677	ERR6275671	ERR6275670	ERR6275669	ERR6275673	ERR6275667	ERR6275664	ERR6275665	ERR6275666	ERR6275659	ERR6275663	ERR6275674	ERR6275668	ERR6275652	ERR6271720	ERR6267711	ERR6271719	ERR6267712	ERR6257997	ERR6271721	ERR6273965	ERR6264280	ERR6254869
k__Bacteria	99.99584	99.96204	99.9424	99.90028	99.6105	99.91293	99.59582	99.8095	99.99586	99.92655	99.97063	99.65343	99.67781	100	98.32672	99.68918	99.87463	99.99036	99.88547	98.15897	100	93.17163	100	99.89433	96.04283	99.78093	94.74111	99.98285	98.72051	99.99593	98.27609	100	97.15911	94.26313	99.22476	99.99358	100	99.99398	99.98788	99.96971	100	99.99573	100	99.86974	99.99071	100	98.4719	99.9722	87.68743	100	99.61758	98.26211	97.2243	95.04526	100	100	99.9983	100	99.01534	100	97.36059	99.97896	95.24089	99.99536	100	99.99741	96.31212	99.9813	99.59728	99.31999	97.70485	100	99.98402	100	99.75297	99.78543	100	98.34681	98.05063	100	100	99.99834	100	99.67203	99.92667	99.65733	81.50648	100	100	100	97.74122	99.87631	99.82986	100	100	98.56485	100	99.99691	98.31455	99.85632	98.77198	100	97.43525	99.65353	95.52129	100	99.69452	97.28109	100	100	98.6605	100	100	100	99.75299	100	100	99.90299	100	100	99.94608	100	100	99.91018	99.82541	100	100	99.99906	97.88505	100	99.51524	99.68581	99.74529	100	100	100	96.0974	94.27884	100	99.47088	99.89503	99.98607	99.9764	100	99.85386	99.37917	99.76044	99.94741	100	95.61084	99.96591	99.99694	97.91393	98.05528	96.65955	99.69668	99.99366	100	100	81.7554	99.59245	100	99.91484	99.94629
k__Archaea	0.00416	0.03796	0.0576	0.09972	0.3895	0.0623	0.40418	0.1905	0.00414	0.07345	0.02937	0.34657	0.32219	0	1.67328	0.31082	0.12537	0.00964	0.11453	1.84103	0	6.82837	0	0.10567	3.95717	0.21907	5.25889	0.01715	1.27949	0.00407	1.72391	0	2.84089	5.73687	0.77524	0.00642	0	0.00602	0.01212	0.03029	0	0.00427	0	0.13026	0.00929	0	1.5281	0.0278	12.31257	0	0.38242	1.73789	2.7757	4.95474	0	0	0.0017	0	0.98466	0	2.63941	0.02104	4.75911	0.00464	0	0.00259	3.68788	0.0187	0.40272	0.68001	2.29515	0	0.01598	0	0.24703	0.21457	0	1.65319	1.94937	0	0	0.00166	0	0.32797	0.07333	0.34267	18.49352	0	0	0	2.25878	0.12369	0.17014	0	0	1.43515	0	0.00309	1.68545	0.13472	1.22802	0	2.56475	0.34647	4.47871	0	0.30548	2.71891	0	0	1.3395	0	0	0	0.24701	0	0	0.09701	0	0	0.05392	0	0	0.08982	0.17459	0	0	0.00094	2.11495	0	0.48476	0.31419	0.25471	0	0	0	3.9026	5.72116	0	0.52912	0.10497	0.01393	0.0236	0	0.14614	0.62083	0.23369	0.05259	0	4.38916	0.03409	0.00306	2.08607	1.94472	3.34045	0.30332	0.00634	0	0	18.2446	0.40755	0	0.08516	0.05371
k__Bacteria|p__Bacteroidetes	51.06616	49.60671	80.28893	60.17821	51.0167	49.56022	60.01674	51.19464	53.16007	66.13488	44.52632	30.80968	8.45267	4.80572	14.39059	22.49246	53.36576	30.78584	44.65465	24.38069	1.10114	18.57634	4.48625	25.05932	29.40165	55.54391	36.13194	2.98913	32.35751	0.46244	2.68113	0.57415	11.96956	4.23536	31.90347	10.6494	15.22506	13.12884	7.83051	15.02105	0.38918	14.61262	7.14879	28.11264	6.89218	0	4.85902	4.85847	0.89799	1.84858	12.47671	2.51972	4.17733	1.34066	1.25834	1.30626	7.43202	2.30573	4.97508	29.3372	4.23373	2.10398	1.81957	1.86334	39.50859	48.64496	22.14337	18.56223	5.7084	11.50749	11.11965	38.20616	3.49744	0.87898	12.00954	37.72196	0.72018	28.09893	8.8276	0.3489	2.62359	37.28178	0.82153	5.65399	6.34249	3.17612	0.39039	13.57288	3.78954	0.02817	33.79372	7.96659	4.03476	0.36611	13.49923	23.68883	1.76161	0.26032	4.51711	15.22395	14.26083	18.15014	14.32006	20.76279	5.64693	0.21137	15.4953	27.23564	4.71703	0.47779	12.18086	6.64081	0.17953	0.49366	1.83583	6.51027	9.65169	18.03168	0.05102	0	1.05588	2.06849	0.30945	5.96055	5.52085	8.05635	0.21694	2.7972	0.18306	4.73885	8.86995	2.89077	6.77005	19.08956	4.82435	1.10385	12.40852	9.07314	17.83027	28.24299	6.0059	39.28433	14.61712	34.25577	20.60653	21.34464	28.8111	8.46015	20.18173	7.26167	17.94726	21.7491	28.7208	5.82094	16.06704	6.29355	1.02153	1.39591	5.14511	3.95254	9.76785	37.77064	49.25525	26.92571
k__Bacteria|p__Firmicutes	43.36782	41.13337	10.28662	33.09047	36.04213	24.23147	31.22351	39.85714	35.3093	27.66901	16.79283	51.68152	62.41055	58.9416	53.37844	59.58824	36.08567	53.44545	43.89479	27.30841	53.78706	42.46617	31.188	42.60962	35.94506	38.52659	47.1719	35.51504	55.79021	65.64834	26.15879	72.94149	50.34956	30.16442	40.80396	64.97566	52.90437	48.38733	75.99699	67.02918	78.76176	57.36576	57.2932	50.57595	43.74984	29.6757	60.51069	74.30708	30.77287	81.66506	50.87588	31.50762	39.28655	66.88184	83.05376	50.31381	79.9069	44.47372	74.225	43.12268	62.46044	54.98691	43.54987	62.85634	29.31681	45.12464	54.64015	47.57551	30.94258	58.47656	48.11711	33.15537	42.9928	24.78399	74.17774	52.38798	57.22094	52.3703	48.7903	51.57505	66.4197	34.8037	54.20779	77.54	76.96837	58.98293	50.52026	54.56084	58.39057	65.01652	40.88185	34.33669	80.71809	48.88429	13.94201	50.4327	52.99371	94.82285	58.06454	64.6852	41.43551	73.74798	55.80339	47.86454	30.78004	66.54187	65.37957	34.40149	33.68349	28.93891	56.41087	47.67789	85.58504	47.84531	26.29493	78.59558	41.11421	66.06662	76.74514	19.00986	81.14041	79.99755	45.43325	79.30309	26.17733	49.73148	45.34563	46.20084	35.47967	49.57382	70.65461	60.8723	78.03716	65.93418	37.32164	45.73268	66.9147	62.0522	61.74934	66.35308	64.50759	49.35159	74.16479	60.20426	74.08505	63.67379	57.24368	71.31191	63.67967	69.96212	74.19172	53.17475	63.15775	85.69714	64.32696	85.199	67.64628	76.38549	79.5424	38.01344	56.83859	48.49223	27.17492	67.70462
k__Bacteria|p__Proteobacteria	3.24785	5.94756	8.89009	6.03914	7.11726	25.46233	7.58549	4.65464	4.65582	1.90432	6.24901	1.06651	25.62816	0.046	2.16661	11.30472	0.97529	1.87169	3.83764	31.84077	1.22794	6.2512	0.56836	1.6358	1.56754	0.95373	1.30119	25.89844	3.48223	0.57584	0.82722	0.42183	0.54569	14.06911	3.22784	0.09975	0.2066	6.13321	6.35494	0.84672	1.56357	1.60592	5.99749	5.48856	20.99262	39.76718	0.43847	5.92713	14.85212	0.09752	0.61893	5.39693	0.52379	0.44701	0.09942	1.22286	0.13271	41.86778	0.54302	15.87606	18.59948	23.13199	1.16192	10.36909	2.08203	2.58612	2.6132	0.19493	35.47485	6.62267	3.52836	0.79731	31.8834	6.72005	0.55542	2.89997	0.58368	5.72288	18.43447	0.05342	0.61617	0.41081	0.15893	1.47969	1.30556	2.57821	1.12422	1.71827	0.52693	1.02142	4.05706	0.4983	0.64416	6.22079	0.21085	3.3196	0.46226	0.01926	1.69756	2.72469	16.39897	1.27194	11.36588	2.41479	37.14696	0.05951	1.80508	2.91252	0.27109	45.28011	1.03796	1.53275	0.4303	28.70286	0.36944	0.606	0.54694	2.42129	0	0	0.56458	0.25661	0.17216	0.10403	1.41537	0.30684	0.00125	0.40859	0.37933	0.15727	3.24815	0.70925	1.47975	0.94112	2.52643	0.11469	1.04183	1.84264	5.36324	0.83431	0.61624	2.26526	1.18689	2.7382	1.96323	1.59964	3.05547	0.48013	6.8321	0.59928	1.05221	8.1237	1.71346	2.93879	1.60688	1.24158	0.06884	2.11671	0.29817	1.49053	11.77546	0.72132	4.0999	1.84488
k__Bacteria|p__Actinobacteria	1.69912	2.31086	0.22741	0.59179	1.69474	0.09316	0.38445	3.29068	0.78738	0.27525	1.01597	1.78659	3.18644	30.04375	28.11776	5.79569	7.40744	13.5397	4.60476	14.47622	37.19123	9.55455	60.61937	24.7883	20.88638	4.65778	10.13608	32.8088	4.66064	33.04707	66.56634	26.06253	33.59208	39.40066	22.51817	20.71437	17.44214	32.19264	9.31141	15.82562	17.59806	25.80072	29.15417	15.27281	28.33098	30.55712	22.84536	14.76545	27.60591	16.37872	35.63514	55.06219	51.55922	25.67438	14.6532	9.77534	10.35541	11.34832	18.74903	11.6589	12.06693	13.42416	38.49838	24.89552	27.05846	3.3049	3.40669	33.64862	27.10548	19.90052	30.53592	22.68611	18.12519	66.55134	10.68335	6.75782	41.43372	11.64937	21.23311	43.64897	16.44486	12.52785	43.84309	14.6202	13.43393	31.70886	29.46625	28.17938	37.11301	17.87661	6.54667	57.05857	14.42121	44.50389	54.51107	20.31358	41.27516	4.88095	29.65988	13.48419	26.2831	3.26733	15.7724	28.61142	17.91455	33.18595	10.14459	7.65123	52.08121	23.01247	27.72108	44.14855	13.77959	22.90636	70.71742	13.78093	28.72405	13.37802	23.17731	80.99014	16.91224	17.67734	54.00436	14.22788	65.2493	41.83226	54.07286	49.84983	61.84298	41.35819	15.01248	35.21349	13.21199	12.70877	40.70997	53.04878	15.70323	21.25926	15.0436	3.26541	28.7653	6.78052	9.72866	2.76357	2.77613	12.048	10.63656	19.6278	9.09557	17.29005	5.82713	6.64704	1.66726	3.39394	10.40377	6.89308	29.78988	1.84388	12.50949	25.45709	18.90132	13.01581	19.20068	2.99027
k__Bacteria|p__Candidatus_Melainabacteria	0.58597	0.07902	0	0	0	0.35262	0	0	3.56682	1.38509	8.28555	0	0	0	0	0.0165	0	0.00507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01725	0.02002	0.02024	0	0.00043	0	0	0	0.00975	0	0.00012	0	0	0	0	0	0	0	0	0	0	0	0	0.23524	0	0	0	0	0	0.04882	0	0	0	0	0	0	0	0	0	0	0	0.00156	0	0	0	0	0	0	0	0	0.09665	1.39903	0.00021	0	0	0	0	0	0.01616	0	0	0	0	0.0167	0	0.00724	0.76855	0	0	0	0	0	0	0	0.0757	0	0	0.02203	0	0.01757	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03194	0	0.02394	0.00334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01824	0.06703	0	0	0	0	0	0	0	0
k__Bacteria|p__Lentisphaerae	0.02893	0.71108	0	0	0	0	0.10073	0.03671	0.06473	0	0.08202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00373	0	0.04209	0.00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182	0	0	0	0.02647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01804	0	0	0.00167	0.02241	0.01283	0	0	0.01325	0.02381	0.01388	0	0.01454	0.12558	0	0	0	0	0	0.00146	0	0	0
k__Archaea|p__Thaumarchaeota	0.00416	0.03013	0.0576	0.09972	0	0.0623	0.03035	0.13937	0.00414	0.01739	0.02937	0.01428	0.01539	0	0	0	0	0.00964	0.11453	0.016	0	0.05812	0	0.05804	0	0.01551	0.00694	0.01673	0.06773	0.00391	0	0	0.01561	0	0.01279	0	0	0.00602	0.00894	0.03029	0	0.00137	0	0.12998	0.00059	0	0	0	0	0	0.02316	0.02072	0.02539	0.0005	0	0	0	0	0	0	0.01464	0	0.03971	0.00222	0	0.00259	0.1126	0.0187	0.00857	0.04081	0.04551	0	0.01598	0	0.06623	0.02191	0	0.10829	0.00271	0	0	0.00166	0	0	0.0467	0	0.03616	0	0	0	0.01936	0	0	0	0	0.08474	0	0	0.02026	0.06598	0	0	0.04112	0.02315	0.01491	0	0.07458	0.01554	0	0	0	0	0	0	0	0	0	0.03906	0	0	0	0	0	0	0	0	0	0.00094	0	0	0.08391	0	0.06016	0	0	0	0.01427	0.0217	0	0.022	0.10497	0.01393	0.0236	0	0.00054	0.08468	0.02005	0	0	0.02213	0.03409	0.00306	0.19776	0.13539	0.2211	0.12648	0.00634	0	0	0.00905	0.16095	0	0.08516	0.05371
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	47.37237	41.07684	80.28893	60.17821	50.49213	39.89775	51.81718	45.46179	52.43801	63.17198	44.46723	26.77	8.45267	4.3889	14.29601	22.49246	53.00842	29.32716	35.8149	21.93762	1.10114	3.50173	3.36523	23.66432	23.28244	55.0675	33.96673	2.98713	32.21046	0.46244	0.04225	0.57415	10.85438	4.12644	28.09187	8.80092	13.88408	12.07402	7.14547	15.02105	0.38511	14.60168	6.5764	22.55291	2.75514	0	4.64465	0.55623	0.82478	1.84858	7.72255	1.43686	1.11191	1.30449	1.19824	1.30626	5.2935	2.20124	4.97508	29.3372	4.231	1.13896	1.31202	1.76649	39.50859	31.77247	18.66885	13.296	1.08562	7.78188	9.42699	38.19599	3.22252	0.80269	9.86022	36.16732	0.72018	8.68633	3.90626	0.3489	2.62359	37.26785	0.53047	5.60345	6.331	0.64126	0.38056	13.57288	2.25424	0.02817	29.66426	1.76445	4.031	0.36611	12.15764	23.25168	1.27795	0.26032	1.31383	14.1353	12.41873	17.54102	13.74897	17.23189	3.54054	0.21137	14.97132	5.54187	4.71483	0.47779	4.84318	3.13074	0.17953	0.49366	1.78795	4.1714	7.03385	14.83376	0.05102	0	1.05588	1.80704	0.07476	3.49172	4.41334	1.91132	0.21694	2.34117	0.18306	4.57347	8.06469	0.5971	6.17883	19.08299	4.67025	1.10385	4.87175	4.21349	17.83027	17.11759	5.99621	38.83952	14.43207	34.25577	20.49961	19.81166	22.97938	8.46015	19.98291	6.44041	17.88546	15.13972	28.7208	5.80964	14.79066	6.1598	1.02153	1.13599	5.14511	1.29252	8.68263	37.77064	48.43543	26.51198
k__Bacteria|p__Firmicutes|c__Clostridia	37.57351	22.08199	8.52699	23.88904	27.1734	16.25525	20.09482	29.86031	18.33096	18.75213	12.63393	35.83814	29.51944	56.11961	43.19755	39.11909	32.08835	38.661	33.90883	16.46731	45.03756	21.75616	24.53598	32.24053	25.52009	22.00165	40.41368	29.15778	37.20828	47.87193	20.74695	37.45342	29.07232	14.68212	28.03587	50.72224	42.82445	43.58574	66.15421	60.42021	32.3847	43.76036	43.92283	34.36184	33.63178	13.52376	51.65097	63.6133	19.74428	76.70099	41.23526	21.68334	29.61188	55.32698	33.10284	43.25112	49.48614	40.82199	59.98286	27.68094	43.39403	38.34739	28.67897	56.41038	24.14177	36.98127	33.75317	40.4904	17.91606	26.8903	35.99767	17.29711	35.98244	15.9025	61.08768	43.96366	45.52228	30.70912	18.3727	48.16922	54.16454	28.68558	48.29714	67.03512	65.84748	39.02879	37.44572	43.73356	44.58816	36.77942	28.4456	17.95116	45.8121	16.26745	11.37869	39.03554	44.39268	89.69619	42.7424	53.83495	30.03949	42.7432	39.74379	38.29305	23.82505	60.50961	41.95064	21.4458	29.34293	11.67151	38.59837	36.73651	76.41637	22.00326	23.38957	61.62837	26.11767	54.59081	73.07553	15.92412	27.17478	54.31958	35.44495	71.82085	22.95289	39.06654	39.39505	36.62371	27.59784	37.25006	55.59766	34.93584	56.98832	55.7747	19.99134	43.26674	50.44395	47.11834	45.11338	35.41437	31.6375	41.11436	63.06131	47.16951	64.79192	41.0419	35.13808	66.22958	54.0581	54.13556	62.46485	25.63536	44.49198	65.61212	31.21424	66.14426	59.94746	67.53431	70.93586	20.81404	44.42967	37.09923	21.95062	61.95878
k__Bacteria|p__Bacteroidetes|c__CFGB629	3.28669	4.73218	0	0	0	8.03496	3.06016	4.96418	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10734	0	0	0	0	0	0	0	0	0	0	0.81135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02795	3.20973	0	0	0	0.00019	0	0	0	0	0	0	0	0	0	0	0	0.00774	0	0	0	0	3.75787	0	0	0	0	0	0	0	0	0	0	0	0	0.30374	1.10401	0	0	0.00992	0	0	0	0	0	0	0	0	0	0.47941	0	0	0	0	0	0.02406	0	0	0	0	0	0.16538	0.80366	0	0.08909	0	0	0	0.37314	0.21321	0	11.01751	0	0	0	0	0	0	0.50248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.63823	2.86738	0.21297	0.25973	2.80635	0.02936	6.56358	3.00685	0.72245	0	3.00021	0.12054	25.62076	0.00507	1.02722	10.10433	0.24695	0.06884	3.4435	31.0327	1.20295	1.29239	0.426	1.14946	0.30531	0.80247	0.61406	25.00049	2.07041	0.08444	0.23998	0.41935	0.45597	14.01811	1.47957	0.01141	0.01909	5.88571	6.09157	0.22447	1.55838	0.41498	5.73402	0.05134	19.67547	39.76718	0.22745	5.92141	14.81485	0.08547	0.56541	5.27203	0.51606	0.33765	0	1.22286	0.00835	41.80207	0.28001	15.10174	18.43093	23.13199	1.13729	10.36232	1.98478	2.54227	2.40583	0	34.77037	6.4198	3.04034	0.06702	30.97454	6.69865	0.25823	2.43586	0.58368	4.91829	6.0698	0.05342	0.38223	0.15006	0.1313	1.06137	0.92895	2.26508	1.06065	0.82785	0.52693	1.02142	3.00751	0.49679	0.6073	6.22079	0.18346	2.83893	0.22245	0.01926	1.48199	0.30504	15.32447	1.22123	11.20513	1.99624	37.14696	0.01196	1.55099	0.54293	0.26057	45.16313	1.02314	1.48127	0.01249	28.70286	0.29538	0.59559	0.14776	1.71837	0	0	0.56458	0.16546	0.04934	0.07944	0.70428	0.07364	0	0.03149	0.37933	0.08229	2.49208	0.46166	0.2834	0.28507	0.64449	0.08506	0.93272	1.71956	2.13033	0.76938	0.14833	0.16452	0.3826	0.50441	0.22556	0.68529	1.88345	0.00836	0.92573	0.23598	0.11219	6.65194	0.07322	0.4397	0.64859	0.31005	0.01535	1.20828	0.00065	1.3236	11.22492	0.60359	3.03553	0.03729
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.45826	1.86081	0.15749	0.55703	0.3651	0.07197	0.28653	3.17988	0.25528	0.17404	0.82358	1.32087	3.02793	29.65303	21.2769	4.13807	2.30921	7.67141	3.82912	12.30001	31.54997	5.81244	20.4661	22.00111	10.18219	3.44534	8.92617	19.08036	4.37635	6.62279	40.37454	11.74452	22.58578	6.74895	8.76824	7.58691	12.2233	13.52602	6.00179	6.111	12.87127	14.05523	12.2992	4.88676	22.33794	0	10.32103	10.38656	22.54339	14.60844	18.39181	14.95783	25.63968	13.90514	6.52541	9.66688	2.37349	6.67524	7.96009	6.12679	4.83727	9.77327	20.84957	20.08114	3.7149	3.25707	2.6296	12.119	16.94748	5.38689	9.553	8.76919	10.67003	12.88604	9.27368	3.03074	2.23276	7.33945	11.73212	15.10784	8.17254	10.55054	14.48311	7.89786	9.08896	24.66765	13.08533	10.71036	16.36554	14.04655	2.76918	37.64203	9.44431	30.50245	17.68565	9.4904	26.90391	4.4505	13.67785	9.9808	14.49629	3.21519	10.20165	16.89786	8.97502	18.63563	5.18771	3.56658	25.51537	6.26006	21.55617	27.57097	6.3803	4.36663	20.51614	8.47642	13.98907	10.09948	8.15128	24.5545	11.01405	12.12443	33.00627	5.49944	27.43897	13.47994	20.8219	16.76668	58.47324	24.43391	10.02113	13.03812	12.74401	5.26393	21.41035	12.40745	4.21354	10.79913	3.643	2.14527	3.64951	4.99221	3.45422	2.33934	2.15254	7.2875	3.85087	1.62836	1.61207	6.33294	3.61428	4.52395	0.97494	2.0167	5.1547	4.33121	14.95809	1.75717	5.11232	7.24169	8.45168	2.96302	4.31155	2.93203
k__Bacteria|p__Firmicutes|c__CFGB9989	1.25239	0	0	0	0	0.00816	0.23096	0.14886	0	0	0	0	0	0	0.11651	0	0	0.61742	0.12112	0.1804	0	0.12844	0	0.42054	0	0	0.062	0.01349	0.43374	0	0	0	0.00808	0	0.05153	0	0	0	0.02023	0	0.00633	0.03425	0	0	0.03543	0	0.07992	0.04957	0.00388	0	0.09049	0.1299	0.05343	0.07057	0	0	0.0822	0	0.09195	0	0.19016	0	0	0	0	0.01031	0.00356	0	0.0318	0.24638	0.20116	0.2659	0.0954	0	0.09456	0.03827	0	0.04846	0.35874	0	0	0	0.10904	0.01321	0.36935	0.00872	0.04329	0	0.01349	0	0.50168	0.22186	0.01284	0	0.00168	0.09353	0.01218	0	0.01303	0	0.07806	0.16949	0.08321	0	0.08459	0	0.0095	0	0	0	0	0	0	0	0.06869	0	0	0.02796	0	0	0	0	0	0	0	0.02578	0	0.03581	0	0	0.28561	0.09367	0.07313	0	0	0	0	0	0	0.26874	0	0	0.06238	0	0.18009	0	0.07558	0.00395	0	0	0.20327	0.28272	0	0.10261	1.276	0	0	0	0	0.02506	0.25464	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	1.19826	7.34378	0.63987	0.33234	4.69328	2.33076	3.49266	3.75784	2.25492	0.20622	0.00756	8.54828	30.73724	0.36131	1.51185	2.70821	0.94989	1.54597	1.15739	1.61713	0.91979	8.13518	0.50073	1.7114	2.11139	13.62887	2.12811	0.52943	9.9093	15.10177	3.19974	34.03057	2.2773	2.88315	3.5348	0.79912	0.51639	0.4523	0.31378	2.22353	42.99422	4.76313	0.93495	11.93895	1.38438	14.7618	1.7892	0.81155	6.16748	0.99275	2.90528	2.04109	3.60703	3.16114	45.04351	0.60043	19.70978	0.23888	8.92485	9.80961	7.90262	11.61369	8.11099	1.2732	1.86664	1.5432	3.64205	0.51368	6.70151	19.82106	5.22256	2.40684	1.50405	8.0615	1.16742	1.32276	1.20654	3.80108	20.30057	0.4604	2.62792	0.42565	3.20891	2.33421	4.82457	1.68592	1.07593	1.4417	5.74086	20.65413	2.38046	4.95498	31.03156	32.20661	0.61277	2.64168	1.75072	0.64323	1.39421	0.9104	1.06101	10.79296	1.18815	0.68273	0.72435	2.81287	0.2534	1.82738	0.05863	14.29931	8.8245	1.4131	0.2322	18.64942	0.3063	11.04225	1.30963	0.86327	0.42324	2.10281	30.28151	15.02649	5.5817	1.39556	0.7864	7.27911	3.87874	1.31498	4.69676	3.52004	0.90635	17.60569	1.82233	4.0303	1.59808	0.7104	5.38647	3.0374	0.12624	3.84757	13.35977	0.03447	4.32833	6.22635	0.29245	4.05069	6.84782	0.15917	0.80887	2.93538	5.42501	4.70877	1.58081	3.35887	7.01908	0.48156	0.84999	4.96489	0.58212	8.2337	1.06796	7.88989	0.88963	1.80008
k__Bacteria|p__Firmicutes|c__CFGB72899	0.56164	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10863	0	0	0	0	0.2687	0.00205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.52145	0.86168	4.7273	3.45011	2.81876	4.87122	0.37988	0.61203	0.67847	0	0.824	0.28587	0.00662	0	0.40957	0.07736	0.2155	0.55185	0.11469	0.00454	0	3.08007	0.01769	0.01265	0.01621	0.12346	0.09252	0.0205	0	0.02596	0	0	0.0032	0.01385	0.37493	0.00904	0.02893	0.01155	0	0.01423	0	0.0086	0.01117	5.39976	0.00519	0	0	0	0	0	0	0.11463	0	0	0	0	0.02709	0	0	0	0.00402	0	0.00421	0.00059	0	0.00888	0.08751	0.02429	0	0	0.04225	0.006	0.61928	0.01006	7.00E-05	0.12812	0	0.04412	12.31314	0	0	0.04857	0	0.02115	0.0084	0.00647	0	0	0	0	0.08541	0	0.00126	0	0.00537	0.22645	0	0	0.02352	1.39789	0.04868	0.01773	0	0.03829	0	0.001	0	1.96413	0	0.04397	0.01482	0	0	0	0.00899	0	0.00197	0.12902	0	0	0	0.07732	0	0.02317	0.00627	0	0.00125	0.00754	0	0.01712	0.02937	0	0	0.43535	0	0.01271	0.04259	0.04668	3.22375	0.05847	0.12536	1.3366	0.53221	0	0.55074	0.44643	0.70836	0.39744	4.84757	0.19647	0.36218	0.25536	0.18123	0.05038	0.31561	0.23938	0	0.59294	0.22022	0.13431	0.06824	0.11773	0.29228	0.5879
